CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-2.51804111794041,-0.862442260377057,-2.3289521475123,-2.20252254700472,0
0.269384583498521,0.399611445293267,0.507467913770621,0.357374645115843,0
-1.30466366242906,-0.656583189922574,-1.25587879947901,-1.22731561555847,0
-0.999937164813763,-2.09403465713053,-0.995431562017781,-0.834628400203332,0
-1.58420499581224,-1.29382285094922,-1.5216154724632,-1.77433442672098,0
-0.334701683830112,-0.479418636661345,-0.490580348742066,-0.374854202534582,0
-1.94650752651057,-2.92377173286799,-2.02728865590044,-1.62614656032163,0
-0.325249198786079,-0.458414169963997,-0.179310971266334,0.0132004246831642,0
-1.14570622642601,-0.900725349342795,-1.06352610090409,-1.33098496322547,0
-0.578313211527331,-0.416186001489527,-0.564820798619614,-0.803694658656718,0
-0.9472150680119,-0.511569605623085,-0.976243117656437,-1.13445983832131,0
-0.116462539449429,-0.174367478285921,-0.0243984504846985,-0.131362319151451,0
-1.89276632440631,-1.18557864645175,-2.10461380768257,-1.74307726928367,0
-1.05857781801035,-0.357727050854165,-1.07408002213829,-0.53614792203939,0
-0.293047371421339,-0.36906384311615,-0.0340954424109828,-0.220335615363201,0
-0.949382638336013,-0.38557408588594,-0.850732390421543,-1.10063989939716,0
-1.45402063328151,-0.541293644227744,-1.59460025918238,-1.34157909603986,0
-0.737104158260577,-0.401596670828013,-0.571179279972632,-0.409504544627084,0
-1.07834194675654,-0.495451641406159,-1.26935048273395,-0.702350450051415,0
-0.662845828599858,-0.346460059829512,-1.0899978763997,-0.989112932260282,0
0.353448094908259,-0.116369466313661,0.225649067298253,0.15273989971473,0
0.0679048253249725,-0.622325159759065,-0.526340695066679,-0.602264335505992,0
-0.246568788361302,-0.169887414328332,-0.238602960058924,-0.279216035377437,0
-1.6250341331191,-1.14969824380538,-1.9594778929492,-1.93131216867078,0
-0.482248473051805,-0.110095096400102,-0.625872584531421,-0.607314955002992,0
-2.17933811956812,-1.12286989519706,-1.86231124859262,-1.84575543273341,0
-1.2133887350745,-1.05459683572838,-1.32375569143604,-1.20743610864024,0
-1.70704398683699,-1.27712438170226,-1.97324957220964,-1.91028270520749,0
-0.372473838896035,-0.43348339362334,-0.272372961290292,-0.230912535305626,0
-0.592365156881939,-0.283506396975203,-0.604706808630458,-0.554498016692601,0
0.523494691238754,1.21819017006927,0.440741303062173,0.471785919703948,0
0.214253785494199,0.063942167002098,0.326123798581118,0.315626981264908,0
-0.734229657814546,-0.341137355326066,-0.54041823198027,-0.611905548208194,0
-1.55500741656276,-0.612079421279647,-1.32912777101264,-1.30110577809767,0
-1.51339012692649,-1.17928954525371,-1.12613073844145,-1.1691651632099,0
-1.75716768966435,-0.8043425787537,-2.05407400968973,-1.95631284102247,0
-0.405133363963038,-0.24368347716247,-0.428430823398042,-0.427582243730442,0
-1.35902794599548,-0.822014142466588,-1.42362184890807,-1.37108535543198,0
0.505701808171967,0.24402190326208,0.329588944493042,0.281020218828855,0
-0.923681214660814,-0.478608321151835,-0.635947989228994,-0.703612112501253,0
-1.08877314839088,-0.526965583940982,-0.788082082243792,-0.75711581424055,0
-0.665618529666638,-0.433852857083761,-0.675703614411254,-0.773737564690022,0
0.130703961445283,-0.0438326924675692,0.171945637316282,0.10300258562638,0
-2.72262996778758,-0.914143614837283,-2.45287686731124,-2.36544096977123,0
-1.92694953556233,-0.795019718775811,-1.52726062834795,-1.50279345109796,0
0.0241768303083755,-0.0226058917586342,0.125024268426947,0.0247701313492452,0
-1.40349624577119,-0.607073102736261,-0.923331038165738,-0.88936430752599,0
-0.385911956877741,-0.213496126832404,-0.511119372167199,-0.481089425628143,0
-1.3464240426018,-0.492073748035646,-0.721657300249566,-0.740213546581851,0
-0.502618995232656,-0.35078713914904,-0.515754422521103,-0.590212549836487,0
-0.703810045298408,-0.354403337060969,-0.408977190721057,-0.532320021349584,0
-1.82995670103905,-0.802622052936849,-1.74812779680733,-1.77030842851162,0
-0.869809856080347,-0.395922441073235,-1.03618883525288,-1.10661020007444,0
0.119643971168555,-0.071958238490626,-0.282159418374221,-0.272277569780069,0
-0.111995618234151,-0.203204843589285,-0.21617684541821,-0.20805423811348,0
-0.89220782531531,-0.421966292234214,-0.699421946108571,-0.679704212081226,0
-0.576230906487995,-0.130071855716059,-0.108308404765257,-0.127790417580843,0
-0.263768522857527,-0.122477781258851,-0.537431028259821,-0.573343553469534,0
-0.832962006374361,-0.438160876873307,-0.912275194116053,-0.93797437327395,0
-0.481345860219116,-0.443286249302405,-0.313117136609675,-0.361850652967832,0
0.186725702352959,-0.127185154750988,0.216981409375464,0.233280153060099,0
-1.69976425434385,-0.681489381020756,-1.64000608152145,-1.5546070287716,0
-1.02983052941179,-0.33874930438445,-0.933951841351111,-0.90380167961321,0
-1.82145705644665,-0.623374747631353,-1.82527381740616,-1.69048170118121,0
-1.23440082754401,-0.602677256093424,-1.63965816343216,-1.60587070863604,0
-0.612933882604223,-0.262799327812896,-1.12375743239185,-1.09757883563594,0
-0.58810373229218,-0.429009915377609,-0.498829411084155,-0.569546044634724,0
-0.524753721239409,-0.224184308630825,-0.779993318551324,-0.681802225002608,0
-0.708026604229552,-0.400499317964725,-1.05016766859958,-1.04604772672865,0
-1.63025052926517,-0.897803324736772,-1.40626557905465,-1.33345735120747,0
0.855550014730711,0.701440510467234,0.636172784514606,0.66068084254302,0
-0.867238345687797,-0.381157388642909,-0.576853791178218,-0.547340313444694,0
-1.01570937407992,-0.399820111289429,-1.01133377388568,-0.900136385971961,0
-0.274380378747932,-0.132753434855064,-0.324519150119729,-0.345971160318789,0
-1.04456478626061,-0.79773353091873,-1.20963755229181,-1.1340693882994,0
-1.91132867040277,-0.695563616433276,-1.07180349185187,-1.06823487513303,0
-0.0808506302194666,0.0146918457158722,0.00177864631503542,-0.0501497350783778,0
0.0519572424805771,0.0631626822266779,-0.111262313425888,-0.0624605945572909,0
-0.565847051458759,-0.289813586357982,-0.615875536603065,-0.529832077714059,0
-0.145567558247383,-0.328315330930523,-0.272578579197975,-0.315358834589216,0
-0.908372445196688,-1.95346130684785,-0.923160367787689,-0.586288979785559,0
-2.11659370220833,-1.05523541662157,-1.90618433186487,-1.88366296016294,0
-1.29006459992655,-2.65415868216244,-1.33719897527654,-1.14388487236447,0
-1.83918330330476,-1.46481379867534,-1.60500491278161,-1.94059786891133,0
-1.56493454138868,-0.853866758414983,-1.86892570681318,-1.40799381487717,0
-1.50051949921971,-2.43375066113695,-1.5544836576848,-1.26029995198809,0
-0.36933153578836,-0.524967573985649,-0.377427605122676,-0.138463807451062,0
-1.67763361695644,-1.21604642242301,-1.47577047973185,-1.72591712089686,0
-0.964939063657671,-0.744568705901635,-0.859070058584108,-0.996698043104255,0
-0.772706136053869,-0.416446074077201,-0.792624921894492,-0.988302136236402,0
-0.118851707534926,0.173645435427371,-0.124102088149858,-0.0659674992936616,0
-1.81293232436933,-1.01357086855716,-1.72542927153334,-1.67262810075625,0
-1.14090961817662,-0.587938168002619,-1.36249366516552,-0.623552172472159,0
-1.05196013277306,-0.934798107187634,-0.907919652892416,-0.736214170888676,0
-0.922921883079432,-0.487198084729557,-0.798115155702419,-1.0710873173451,0
-2.48653824249715,-1.03297451725458,-2.61757576735455,-2.15759746223497,0
-0.66835844434485,-0.594591069566116,-0.725021874056108,-0.147376522606633,0
-1.22352199696289,-0.550702785815613,-1.19927429333536,-1.12826590247992,0
-0.962865723891184,-0.46631906709601,-1.37681948559568,-1.21822427823623,0
-0.693221607959493,-0.398235983109216,-0.929571023849316,-0.877075338311289,0
0.250437190549682,-0.907449393092161,-0.919917529616736,-0.987918638958311,0
-1.06567333812497,-0.421133531210495,-1.25786683571613,-1.17943663766078,0
-0.894653480761612,-0.621938345696186,-1.28207462228929,-1.28604277629473,0
-0.760710038326376,-0.345311880292494,-0.910571624289051,-0.878527176746332,0
-1.34883675690095,-0.726251251161727,-1.03486699122713,-1.03775839556976,0
-0.734513621936184,-0.854019880851671,-0.738511835802003,-0.692183970640576,0
-1.6596333702349,-1.21354381486676,-1.96536581247666,-1.87493687233029,0
-1.00441410380665,-0.692323336518291,-0.785821883163981,-0.684029127867182,0
-0.476652322665015,-0.651876632791402,-0.706196686180752,-0.728986792154726,0
0.773716430383688,1.25562860569037,0.507048197622224,0.576771380058567,0
0.437340894688328,0.0865918889614076,0.371540608472106,0.33208080399516,0
-0.777346286049915,-0.378147676957116,-0.621957831681312,-0.623961932565972,0
-1.9148561297122,-0.675320343710573,-1.99600048181177,-1.95459554763789,0
-1.32113283770908,-0.975251412837315,-0.704317739763059,-0.769330639760991,0
-1.76609122913083,-0.829767297263117,-1.96626386751605,-1.8781008114254,0
-0.999990974470637,-0.601255405289605,-1.09264184889653,-1.02848120231078,0
-1.54135306946592,-0.849259416921005,-1.52674533685425,-1.4686217298866,0
-0.287136441006603,-0.123828911641083,-0.366510430387388,-0.323215925071477,0
-1.66022496675283,-0.834273799767909,-1.1044601932051,-1.12273409287161,0
-0.95681957461693,-0.444619460654317,-0.335710319894695,-0.372638849872103,0
-1.13590003302643,-0.579425591786345,-0.761195938947718,-0.888937774429424,0
-0.427900218745805,-0.247780031461217,-0.235262184647189,-0.306661816388166,0
-1.99430796346967,-0.730788207035337,-1.59901832688939,-1.60309088975461,0
-1.84630668599463,-0.761528174924955,-1.30663985246589,-1.28427640541522,0
-0.0704097632834636,-0.0769805017196421,-0.155549440444655,-0.188066529198579,0
-1.41616614454221,-0.606631297154406,-1.03541312774807,-1.01297388062499,0
-1.46363574999554,-0.764396626008608,-1.34743424744272,-1.35809503488419,0
-1.48582944235817,-0.880411003108339,-1.9643225399569,-1.84900862369752,0
-0.726013295498391,-0.535143434069196,-0.853591082440972,-0.893507985643338,0
